Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
HALLEYS COMET,Greene King,0.80%,1.66%,0.985,2.092,1.866,6.904,0.048,0.122,01:41:06,03:13:46,01:32:39,52.05928016,-0.78535858,MK13 7AW,4,AC,Pub,,,,,,,,,,,,,,,,,,
HAMPTON HOTEL,Greene King,0.65%,1.05%,0.793,1.706,1.522,5.630,0.039,0.076,02:06:55,03:17:43,01:10:48,53.35677891,-1.481050049,EH12 6HN,4,AC,Pub,,,,,,,,,,,,,,,,,,
HARDY PICK,Greene King,2.45%,4.24%,10.432,16.169,14.423,53.357,0.370,0.539,00:35:44,00:41:39,00:05:55,53.3568,-1.48101,S8 0XN,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
HARVEST MSE,Greene King,3.63%,6.54%,4.349,9.492,8.467,31.324,0.217,0.347,02:56:10,04:29:19,01:33:09,53.3346243,-3.097067772,CH60 7RQ,6,AC,Pub,,,,,,,,,,,,,,,,,,
HEATHLEY,Greene King,3.29%,8.80%,3.906,8.602,7.673,28.388,0.197,0.305,03:21:26,06:52:16,03:30:50,52.65068711,-1.168813155,LE3 9QE,6,AC,Pub,,,,,,,,,,,,,,,,,,
HICKORYS ADEL,Greene King,5.02%,10.14%,6.064,13.146,11.726,43.381,0.301,0.536,02:29:16,04:30:14,02:00:58,53.8569035,-1.5910609,LS16 7PH,4,AC,Pub,,,,,,,,,,,,,,,,,,
HICKORYS LINC,Greene King,1.18%,1.82%,0.418,0.960,0.857,3.169,0.022,0.080,01:20:27,01:41:37,00:21:10,53.17732131,-0.62338442,LN6 9NH,6,AC,Pub,,,,,,,,,,,,,,,,,,
HICKORYS THRN,Greene King,1.06%,1.90%,1.316,2.767,2.468,9.132,0.063,0.196,01:34:13,02:18:30,00:44:17,53.88962,-3.01481115,FY5 4LH,4,AC,Pub,,,,,,,,,,,,,,,,,,
HIGHLANDS INN,Greene King,1.78%,3.41%,2.273,4.670,4.165,15.410,0.107,0.330,01:53:10,02:27:51,00:34:41,50.96110067,0.099490353,TN22 5SP,4,AC,Pub,,,,,,,,,,,,,,,,,,
HIGHWAYMAN,Greene King,3.93%,10.73%,4.707,10.295,9.183,33.973,0.235,0.376,03:19:44,06:48:03,03:28:20,51.87591562,-0.505686923,LU6 3DX,4,AC,Pub,,,,,,,,,,,,,,,,,,
HONEYCOMBE,Greene King,4.68%,13.40%,5.712,12.260,10.936,40.459,0.280,0.569,02:17:28,05:36:00,03:18:33,51.46389129,-0.385408103,TW4 5AR,4,AC,Pub,,,,,,,,,,,,,,,,,,
JINGLING GATE,Greene King,1.33%,2.27%,1.638,3.473,3.098,11.460,0.079,0.195,01:53:21,02:45:48,00:52:27,55.00487138,-1.708677993,NE5 1LS,6,AC,Pub,,,,,,,,,,,,,,,,,,
JOLLY FARMER,Greene King,1.14%,2.00%,1.402,2.994,2.671,9.881,0.068,0.176,02:08:56,02:42:51,00:33:55,51.07111172,-1.319779687,SO22 6AE,2,AC,Pub,,,,,,,,,,,,,,,,,,
JOLLY FENMAN,Greene King,2.51%,6.23%,2.285,6.573,5.863,21.692,0.150,0.271,02:29:47,05:27:38,02:57:52,51.45137788,0.090481901,DA15 8SW,6,AC,Pub,,,,,,,,,,,,,,,,,,
KEYMASTER,Greene King,2.75%,4.88%,3.391,7.191,6.414,23.729,0.164,0.336,02:21:47,03:27:49,01:06:02,52.58701572,-2.035326757,WV13 2RN,4,AC,Pub,,,,,,,,,,,,,,,,,,
KING'S ARMS,Greene King,2.15%,3.97%,2.694,5.640,5.031,18.611,0.129,0.327,02:37:07,02:53:32,00:16:25,51.36104427,-0.692194496,GU19 5AY,2,AC,Pub,,,,,,,,,,,,,,,,,,
